sample,analysis_type_uid,PC1,PC2,PC3
C1d/C1/C42.2-C3cg-C1b-C115k-C45c-C42ap,395562,-0.33081547320775595,0.12267886605669691,0.0
C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,394576,-0.33081547320775573,-0.1226788660566972,0.0
C15h,395965,0.6616309464155118,-1.155702974612982e-16,0.0
proportion_explained,0,0.9561690094180054,0.04383099058199457,0.0
