sample,analysis_type_uid,PC1,PC2,PC3
C1d/C1/C42.2-C3cg-C1b-C115k-C45c-C42ap,395562,-0.3318502063462727,-0.09422825972831204,0.0
C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,394576,-0.33185020634627266,0.09422825972831175,0.0
C15h,395965,0.6637004126925455,-1.3315237199488674e-16,0.0
proportion_explained,0,0.9738278680885659,0.02617213191143404,0.0
